,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('etkililik', 'ekonomiklik', 'ilkelerinden')","('türkiye', 'büyük', 'millet')","('etkililik', 'ekonomiklik', 'ilkelerinden')"
1,"('soru', 'önergesi', 'geliş')","('mesleğinde', 'münasebetlerin', 'tanzimi')","('soru', 'önergesi', 'geliş')","('mesleğinde', 'münasebetlerin', 'tanzimi')"
2,"('bir', 'bir', 'bir')","('nükhet', 'hotar', 'göksel')","('büyük', 'millet', 'meclisi')","('vahdet', 'si̇nan', 'yerli̇kaya')"
3,"('büyük', 'millet', 'meclisi')","('vahdet', 'si̇nan', 'yerli̇kaya')","('bir', 'bir', 'bir')","('maliki', 'ejder', 'arvas')"
4,"('cumhuriyet', 'halk', 'partisi')","('maliki', 'ejder', 'arvas')","('cumhuriyet', 'halk', 'partisi')","('nükhet', 'hotar', 'göksel')"
5,"('kabul', 'kabul', 'kabul')","('isteme', 'butonuna', 'sönmeye')","('kabul', 'kabul', 'kabul')","('isteme', 'butonuna', 'sönmeye')"
6,"('maddeyi', 'kabul', 'kabul')","('tüyü', 'bitmemiş', 'yetimin')","('maddeyi', 'kabul', 'kabul')","('yusuf', 'selahatti̇n', 'beyri̇bey')"
7,"('sözlü', 'soru', 'önergesi')","('sorabilmeleri', 'şifrelerini', 'parmak')","('sözlü', 'soru', 'önergesi')","('edi̇p', 'safder', 'gaydali')"
8,"('otomatik', 'cihaz', 'başkan')","('kutusuna', 'oylamada', 'okunmayan')","('otomatik', 'cihaz', 'başkan')","('seçi̇mler', 'komi̇syonlarda', 'açik')"
9,"('halk', 'partisi', 'grubu')","('mükerrerliklerin', 'önlenmesinin', 'gereksiz')","('halk', 'partisi', 'grubu')","('sorabilmeleri', 'şifrelerini', 'parmak')"
10,"('başkan', 'teşekkür', 'ediyorum')","('seçi̇mler', 'komi̇syonlarda', 'açik')","('başkan', 'teşekkür', 'ediyorum')","('tüyü', 'bitmemiş', 'yetimin')"
11,"('madde', 'üzerinde', 'söz')","('içdenetim', 'boyutunun', 'güçlendirilmiş')","('madde', 'üzerinde', 'söz')","('yuvarlak', 'pul', 'mühürlü')"
12,"('ardahan', 'milletvekili', 'ensar')","('yusuf', 'selahatti̇n', 'beyri̇bey')","('ardahan', 'milletvekili', 'ensar')","('şifrelerini', 'parmak', 'izlerini')"
13,"('başkan', 'teşekkür', 'ederim')","('mamulleri', 'alkollü', 'i̇çkiler')","('başkan', 'teşekkür', 'ederim')","('branş', 'branş', 'branş')"
14,"('büyük', 'millet', 'meclisinin')","('şifrelerini', 'parmak', 'izlerini')","('büyük', 'millet', 'meclisinin')","('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')"
